등락률,종목명,종목코드,현재가,전일비,등락률.1,시가,고가,저가,거래량
21.52%,이노뎁,303530,18050.0,4150.0,-18.69%,22200.0,23000.0,17900.0,5743999.0
18.88%,삼성스팩4호,377630,10100.0,1000.0,-9.01%,10850.0,12450.0,10050.0,10989308.0
18.56%,지더블유바이텍,036180,4235.0,170.0,+4.18%,4900.0,5200.0,4030.0,12770965.0
16.54%,케이비제18호스팩,323940,2145.0,25.0,+1.18%,2120.0,2570.0,2120.0,3466308.0
15.04%,SK5호스팩,337450,3050.0,235.0,+8.35%,2880.0,3590.0,2720.0,16997444.0
13.65%,아이엠,101390,1550.0,250.0,-13.89%,1750.0,1795.0,1510.0,9725092.0
13.28%,하이제5호스팩,340120,2350.0,195.0,+9.05%,2270.0,2710.0,2220.0,18301434.0
12.58%,SM C&C,048550,3230.0,140.0,-4.15%,3680.0,3695.0,3160.0,13325646.0
12.50%,클라우드에어,036170,2625.0,10.0,+0.38%,2950.0,3000.0,2605.0,38335373.0
12.45%,키움제5호스팩,311270,2145.0,50.0,+2.39%,2095.0,2450.0,2085.0,3518793.0
12.31%,SK6호스팩,340350,2350.0,135.0,+6.09%,2230.0,2680.0,2185.0,9878730.0
12.02%,삼성스팩2호,291230,8490.0,800.0,+10.40%,7830.0,9650.0,7690.0,27989998.0
11.80%,액션스퀘어,205500,4745.0,515.0,-9.79%,5260.0,5380.0,4585.0,4418133.0
10.93%,쎄미시스코,136510,44800.0,2500.0,-5.29%,48350.0,50300.0,44800.0,1147545.0
10.77%,본느,226340,3810.0,5.0,+0.13%,3890.0,4270.0,3750.0,12195308.0
10.37%,누리플랜,069140,9590.0,930.0,+10.74%,8580.0,10700.0,8460.0,7779813.0
10.31%,정원엔시스,045510,4000.0,460.0,+12.99%,3665.0,4460.0,3505.0,33896438.0
10.03%,파라텍,033540,3185.0,355.0,+12.54%,2840.0,3540.0,2815.0,7910653.0
9.96%,더블유에스아이,299170,3165.0,115.0,+3.77%,3495.0,3515.0,3150.0,2965119.0
9.95%,나무기술,242040,3845.0,465.0,+13.76%,3410.0,4270.0,3355.0,36349009.0
9.74%,엘아이에스,138690,7040.0,140.0,+2.03%,6900.0,7800.0,6830.0,957586.0
9.70%,라온시큐어,042510,5960.0,110.0,-1.81%,6420.0,6600.0,5960.0,26904657.0
9.54%,서암기계공업,100660,7300.0,640.0,+9.61%,6730.0,8070.0,6700.0,13427034.0
9.30%,피델릭스,032580,1610.0,0.0,0.00%,1615.0,1775.0,1600.0,6280013.0
8.74%,자연과환경,043910,2925.0,20.0,+0.69%,2970.0,3205.0,2865.0,51835749.0
8.62%,KG ETS,151860,17500.0,1900.0,+12.18%,15950.0,19150.0,15750.0,13705771.0
8.58%,백금T&A,046310,4370.0,225.0,+5.43%,4140.0,4780.0,4115.0,15193974.0
8.53%,SK4호스팩,307070,2145.0,40.0,+1.90%,2130.0,2345.0,2105.0,3874019.0
8.51%,고려신용정보,049720,10750.0,400.0,+3.86%,10500.0,11750.0,10050.0,1000776.0
8.37%,코리아에스이,101670,2300.0,220.0,-8.73%,2480.0,2510.0,2275.0,2350412.0
8.18%,피제이전자,006140,10100.0,1400.0,+16.09%,8700.0,11000.0,8700.0,1808377.0
8.08%,연이비앤티,090740,4550.0,160.0,+3.64%,4430.0,4950.0,4425.0,1441253.0
8.04%,이루온,065440,4460.0,615.0,+15.99%,3950.0,4850.0,3915.0,64662964.0
7.98%,피피아이,062970,8880.0,830.0,+10.31%,8100.0,9650.0,7840.0,13704471.0
7.97%,이즈미디어,181340,23100.0,900.0,-3.75%,24000.0,25100.0,23000.0,407092.0
7.86%,웨이브일렉트로,095270,10550.0,850.0,-7.46%,11400.0,11450.0,9990.0,431609.0
7.69%,웹스,196700,8400.0,740.0,-8.10%,8700.0,9100.0,8270.0,3208475.0
7.66%,넥스트아이,137940,1990.0,55.0,-2.69%,2080.0,2155.0,1970.0,11132488.0
7.63%,리더스 기술투자,019570,1210.0,30.0,+2.54%,1195.0,1310.0,1175.0,27474283.0
7.62%,대주산업,003310,2970.0,20.0,-0.67%,3175.0,3215.0,2955.0,10203883.0
7.58%,SGA솔루션즈,184230,1950.0,115.0,-5.57%,2085.0,2110.0,1915.0,9197920.0
7.56%,유아이디,069330,2445.0,20.0,+0.82%,2425.0,2645.0,2415.0,502850.0
7.52%,PN풍년,024940,10450.0,250.0,+2.45%,10300.0,11300.0,10100.0,1708572.0
7.32%,삼영에스앤씨,361670,14550.0,600.0,+4.30%,14400.0,15700.0,14350.0,717036.0
7.11%,하나머스트제6호스팩,307160,2155.0,40.0,-1.82%,2210.0,2320.0,2140.0,2695237.0
6.88%,신한제7호스팩,366330,2300.0,135.0,+6.24%,2160.0,2470.0,2135.0,3329996.0
6.84%,한일단조,024740,3335.0,310.0,+10.25%,3050.0,3580.0,2920.0,43755523.0
6.76%,이베스트이안스팩1호,323210,2275.0,130.0,+6.06%,2170.0,2440.0,2145.0,2851747.0
6.75%,삼보산업,009620,2280.0,105.0,-4.40%,2415.0,2445.0,2260.0,5110294.0
6.70%,블루베리 NFT,044480,3480.0,380.0,+12.26%,3200.0,3730.0,3100.0,3223997.0
6.67%,광진윈텍,090150,4900.0,170.0,-3.35%,5180.0,5250.0,4785.0,657086.0
6.62%,헬릭스미스,084990,34550.0,1200.0,-3.36%,36500.0,37000.0,34300.0,1143451.0
6.56%,보라티알,250000,20650.0,3650.0,+21.47%,16900.0,22100.0,16900.0,3978528.0
6.46%,에코플라스틱,038110,3115.0,115.0,+3.83%,3040.0,3330.0,3035.0,5451376.0
6.44%,한화에스비아이스팩,317320,4210.0,100.0,-2.32%,4325.0,4500.0,4210.0,1634083.0
6.38%,오픈베이스,049480,4625.0,815.0,+21.39%,3790.0,4940.0,3750.0,83109219.0
6.36%,윈팩,097800,2575.0,275.0,+11.96%,2315.0,2750.0,2310.0,16836035.0
6.29%,판타지오,032800,134.0,4.0,-2.90%,138.0,143.0,131.0,29482271.0
6.23%,프럼파스트,035200,9330.0,330.0,-3.42%,9570.0,9950.0,9330.0,1679485.0
6.22%,케이에스피,073010,2335.0,45.0,-1.89%,2380.0,2490.0,2305.0,196907.0
6.21%,오킨스전자,080580,23400.0,1200.0,-4.88%,24600.0,24950.0,23100.0,93544.0
6.19%,지니틱스,303030,3640.0,55.0,+1.53%,3590.0,3880.0,3585.0,5155498.0
6.15%,EG,037370,12200.0,700.0,+6.09%,11500.0,13000.0,11350.0,1872627.0
6.11%,오스테오닉,226400,4225.0,75.0,+1.81%,4120.0,4500.0,4055.0,743956.0
6.09%,우리이앤엘,153490,1850.0,55.0,-2.89%,1875.0,1970.0,1835.0,1655010.0
6.07%,그리티,204020,4330.0,120.0,-2.70%,4450.0,4610.0,4325.0,624109.0
6.02%,SGA,049470,1640.0,130.0,+8.61%,1740.0,1745.0,1575.0,44388395.0
5.69%,서플러스글로벌,140070,5800.0,110.0,+1.93%,5770.0,6150.0,5710.0,1610367.0
5.68%,에스엠,041510,54800.0,200.0,-0.36%,56400.0,58100.0,53900.0,2207156.0
5.68%,AP위성,211270,16600.0,500.0,+3.11%,16250.0,17600.0,16150.0,1653890.0
5.66%,큐브앤컴퍼니,043090,2665.0,160.0,+6.39%,2570.0,2825.0,2505.0,1906739.0
5.60%,엘앤케이바이오,156100,23600.0,900.0,-3.67%,24600.0,25000.0,23350.0,498934.0
5.59%,대성창투,027830,4560.0,140.0,-2.98%,4750.0,4830.0,4560.0,3101276.0
5.58%,줌인터넷,239340,6940.0,680.0,+10.86%,6310.0,7350.0,6240.0,16950518.0
5.55%,에스트래픽,234300,7320.0,200.0,-2.66%,7420.0,7750.0,7200.0,680869.0
5.54%,수젠텍,253840,20450.0,1950.0,+10.54%,18650.0,21650.0,18500.0,1637793.0
5.48%,라온테크,232680,19850.0,650.0,-3.17%,20500.0,21000.0,19500.0,377452.0
5.43%,한국큐빅,021650,5400.0,20.0,-0.37%,5430.0,5710.0,5340.0,697549.0
5.43%,액토즈소프트,052790,12200.0,250.0,-2.01%,12450.0,12900.0,12200.0,172486.0
5.39%,한국선재,025550,5790.0,300.0,-4.93%,6000.0,6120.0,5680.0,2838540.0
5.35%,THE E&M,089230,1150.0,10.0,+0.88%,1160.0,1215.0,1125.0,8846378.0
5.26%,화성밸브,039610,9000.0,290.0,+3.33%,8660.0,9500.0,8660.0,1607794.0
5.22%,삼화네트웍스,046390,3270.0,165.0,-4.80%,3435.0,3450.0,3255.0,1461030.0
5.20%,티앤엘,340570,80200.0,4100.0,-4.86%,84600.0,84600.0,79400.0,199171.0
5.16%,리더스코스메틱,016100,6250.0,410.0,-6.16%,6560.0,6590.0,6190.0,457391.0
5.15%,웰크론한텍,076080,4325.0,120.0,-2.70%,4485.0,4560.0,4285.0,1614571.0
5.12%,프레스티지바이오로직스,334970,13900.0,350.0,+2.58%,13550.0,14650.0,13400.0,601418.0
5.11%,SM Life Design,063440,2970.0,90.0,-2.94%,3130.0,3130.0,2940.0,2375352.0
5.09%,신영스팩6호,344050,2795.0,325.0,+13.16%,2410.0,2945.0,2370.0,10431041.0
5.07%,상지카일룸,042940,1405.0,45.0,-3.10%,1450.0,1480.0,1380.0,1980530.0
5.05%,옵티팜,153710,13150.0,300.0,-2.23%,13500.0,13850.0,13150.0,101799.0
5.05%,에이치엠씨제4호스팩,353070,2160.0,5.0,-0.23%,2165.0,2275.0,2130.0,859794.0
5.00%,하나마이크론,067310,16150.0,0.0,0.00%,16500.0,17000.0,16100.0,1650065.0
4.98%,아스타,246720,6100.0,70.0,+1.16%,6020.0,6420.0,5840.0,84140.0
4.95%,자이언트스텝,289220,48000.0,1300.0,-2.64%,49000.0,50500.0,48000.0,395166.0
4.91%,엔바이오니아,317870,10650.0,450.0,-4.05%,11150.0,11200.0,10550.0,62348.0
4.85%,수성이노베이션,084180,2845.0,100.0,-3.40%,2950.0,2990.0,2815.0,901956.0
4.81%,씨이랩,189330,46550.0,1750.0,-3.62%,48900.0,48900.0,46350.0,27410.0
4.79%,유안타제6호스팩,340360,3180.0,90.0,-2.75%,3185.0,3340.0,3150.0,840479.0
4.78%,코콤,015710,9570.0,200.0,+2.13%,9530.0,10050.0,9400.0,2939826.0
